study_id,study_title,study_publication_year,study_evidence_type,offset_category_general,continent,country,subnational_region,subnational_region_type,species_common_name,species_scientific_name,species_taxonomic_group,ecosystem_type,ecosystem_broad_type,project_type,project_broad_type,program_name,program_type,program_mechanism_type,program_status,program_scope_level,program_scope_location,program_related,project_delivery_type,policy_name,policy_type,policy_note,policy_jurisdiction_level,policy_jurisdiction_note,policy_jurisdiction_location,policy_status,policy_year_adopted,policy_description,permanence_risk_domain,permanence_risk_category,permanence_risk_type,permanence_risk_evidence_and_reasoning
1,A corruption risk assessment for reducing emissions from deforestation and forest degradation in Nigeria,2018,direct empirical,carbon,Africa,Nigeria,Cross River,State,NA,NA,NA,forest,Forest,avoided deforestation,Protection,REDD+,voluntary,project-based mechanism,active,international,Global,NA,NA,UNFCCC REDD+,framework,Overarching legislation or policy providing foundational principles.,international,Applies globally or through international institutions.,Global,active,2005,Developed under the UNFCCC to incentivize emissions reductions through avoided deforestation and forest degradation; includes safeguards and provisions for biodiversity co-benefits.,non-physical,"Compliance, Legal, and Governance Risks; Data, Transparency, and Capacity Issues; Socioeconomic and Equity Risks","Corruption and Institutional Capture; Limited Data Transparency; Inadequate Policy Design; Community Exclusion and Compensation Gaps; Capacity, Expertise, and Resource Gaps","The table suggests that allocation of carbon rights (68.8%), distribution of project benefits (57.7%), and decision-making processes (56.6%) were the more critically perceived REDD+ processes fraught with the problem of poor transparency among the respondents. This is due to the relatively high proportion of the respondents that indicated agreement with statements that these processes had been opaque, uncertain, and subject to hijacking by certain powerful or influential individuals. For instance, quite a number of the respondents during the interview schedule stressed that certain benefits distributed during the REDD+ pilot phase were skewed positively in favor of few individuals who were more influential. Similar observations were documented by Mahesh et al. (2016) with regard to REDD+ social safeguards distribution in Madagascar, where households with more sociopolitical power locally were more favored for compensation while many people negatively impacted by the project did not receive compensation. This implies that the argument of Menton et al. (2014) that current REDD+ guidelines are not strong enough in safeguarding vulnerable groups need to be taken seriously by the concerned authorities. Successful implementation of the REDD+ project calls for an adequate understanding of local political dynamics and interests by the local actors and optimal exploration of deliberate inclusionary processes for the less privileged. While individuals with sociopolitical influence may be useful for the project in a number of ways, necessary caution needs to be taken in order to avoid hijack and any form of political marginalization to the disadvantage of the poorer people who oftentimes suffer equal or more impacts arising from restrictions on forest resources extraction. In similar vein, the expression of uncertainties by most of the respondents (> 60%) to other perception statements (iii–vii) is either an indication of poor engagement and social involvement of a broad segment of the forest-edge communities in the REDD+ processes or that adequate knowledge is still lacking among households in the area on how REDD+ works. This situation raises a question about the transparency of flow of information on REDD+ processes at the local level.
"
2,A new solution to a persistent problem: Addressing tropical deforestation with carbon forestry offset projects,2011,direct empirical,carbon,South America,Peru,Ucayali,Department,NA,NA,NA,Amazon forest; tropical forest,Forest,reforestation; agroforestry,Restoration; Ecosystem Management,REDD+; UNFCCC CDM,voluntary; compliance,project-based mechanism,active,international,Global; UNFCCC,NA,NA,UNFCCC REDD+; Kyoto Protocol,framework; international_agreement,Overarching legislation or policy providing foundational principles.; Legally binding agreement among countries.,international,Applies globally or through international institutions.,Global,active; inactive,2005; 1997,Developed under the UNFCCC to incentivize emissions reductions through avoided deforestation and forest degradation; includes safeguards and provisions for biodiversity co-benefits.; Introduced CDM for carbon offsets.,non-physical,Financial Risks; Socioeconomic and Equity Risks,Inadequate Financial Planning; Land Tenure and Access Conflicts,"This research finds that insecure land tenure and contradicting policies contribute to deforestation in the country, and hence have significant implications for the advancement of carbon forestry offset activities. Latin American countries are renowned for their land tenure problems and these are especially pronounced in the Peruvian Amazon where competing claims between indigenous groups, migrants, loggers and conservationists continually collide (IWGIA, 2006; Salisbury, 2007). Numerous riverside and native communities often lack official land tides and instead are governed by customary laws. In non-indigenous communities commonly, permission from the village is required to claim a piece of land, which is then secured by clearing it and establishing crop cultivation. In Nueva Esperanza nine out of the thirty-one families interviewed practice reforestation on their property. Seven out of the nine families are participating in the government program and the remaining two respondents are reforesting on their own account. Farmers involved in the government program tend to have a favorable opinion of the project -for its environmental benefits-, yet feel that the support both technically and financially is insufficient. For example one farmer in the program explains: ""The program by the government helps a little bit. They give the plants
 and a little support with finances. But it's not sufficient. The project  take years to maintain and they only support it for two years, how are  you supposed to maintain it?'""2"
3,"A political ecology of REDD+: Property rights, militarised protectionism, and carbonised exclusion in Cross River",2016,legal and policy,carbon,Africa,Nigeria,Cross River,State,NA,NA,NA,tropical rainforest,Forest,avoided deforestation; forest conservation,Protection,REDD+,voluntary,project-based mechanism,active,international,Global,NA,NA,UNFCCC REDD+,framework,Overarching legislation or policy providing foundational principles.,international,Applies globally or through international institutions.,Global,active,2005,Developed under the UNFCCC to incentivize emissions reductions through avoided deforestation and forest degradation; includes safeguards and provisions for biodiversity co-benefits.,non-physical; physical,"Socioeconomic and Equity Risks; Compliance, Legal, and Governance Risks; Direct Anthropogenic Disturbances",Land Tenure and Access Conflicts; Corruption and Institutional Capture; Community Exclusion and Compensation Gaps; Local-scale Activities,"The recognition of the weakness of community tenure under REDD+ and a tacit reluctance to decisively address it run through the discourses of REDD+ proponents across the state, NGOs, and international REDD+ partners. Foresters’ reluctance to yield full control over the forest to communities reflects well-known professional, even existential imperatives (Interview, Forestry Director; cf. Blaikie, 2006), while local and foreign NGOs often weigh the prospect of community tenure security against “what they understand to be in their interest”.  An example is the state-proposed carbon credit sharing formula for REDD+ benefit which has been quietly included in the appendices of the new “Forestry Regulation and Tariffs for market and transportation of forest products and other forestry prescribed fees” dated August 2012.14 The proposal which allocated the least proportion (10%) of carbon benefits in all forest types to communities has been challenged by community leaders (Interview, Community Leader). Meanwhile, communities had received (at least in theory) up to 70% of timber royalty prior to the moratorium. For instance, the Legal Secretary who is also the Chief Prosecutor of the ATF confirms that up to 40% of the activities of the ATF itself is in illegal timber dealings and corrupt practices.16 Corruption in the ATF is a public knowledge, having been variously revealed in state and national newspapers (e.g. Agbakwuru, 2012, Uzondu, 2012). What is difficult to assay is the extent.17 As its own legal adviser estimates, as much as 40% of the transactions and dealing of the ATF are illegal timber deals the proceeds of which escape formal records since they go into the pockets of the ATF elites and their patrons in the military and in the timber industry."
4,Achieving biodiversity net gain by addressing governance gaps underpinning ecological compensation policies,2024,direct empirical,biodiversity,Europe,United Kingdom,England,Constituent Country,NA,NA,NA,NA,NA,NA,NA,England BNG,compliance,project-based mechanism,active,national,UK,NA,NA,UK Environment Act,legislation,Statutory law passed by a legislature.,national,Applies to a single country at federal level.,UK,active,2021,Mandated biodiversity net gain in planning.,non-physical,"Compliance, Legal, and Governance Risks; Data, Transparency, and Capacity Issues","Inadequate Policy Design; Capacity, Expertise, and Resource Gaps","Despite Natural England describing the biodiversity metric as a “simple assessment tool” (Panks et al., 2022), particularly in reference to metric 3.1, we found that one-fifth of all assessments contained errors in the site areas reported between the baseline and postdevelopment stages. Around one-quarter of all LPA-accepted assessments contained these errors. This could be interpreted as further evidence of severe capacity constraints in LPAs (Robertson, 2021) because these were errors that would be unlikely to occur if planners were given sufficient time and resources to scrutinize metric reports. By underfunding LPAs, BNG policy runs the risk of not having biodiversity outcomes prioritized in development decisions.

To evaluate this risk, we assumed that project proponents attempt to deliver the specific habitat types promised in their BNG assessments. However, we classified as being highly exposed to governance risks all biodiversity units that were associated with on-site compensation that were in excess of the condition they were in before the project was initiated (or for newly created habitat patches, those in excess of poor condition). We justify these categories based on four observations. First, on-site habitat creation or enhancement falls within a crucial governance gap. They are not recorded on the national BNG site register and there are no currently established mechanisms for systematically monitoring outcomes in on-site habitats. Failing to deliver biodiversity units to the condition promised in the planning application falls below the threshold of what is conventionally enforced by LPAs, so enforcement is very unlikely. Second, biodiversity units delivered on-site are likely to be under intense human and pet pressure, especially as one of the key aims of the BNG is to improve public access to green space (Natural England, 2021b). Third, there are potential conflicts between residential preferences and BNG commitments that may lower the habitat quality of green spaces. Public perceptions may prevent the delivery of high-quality habitats under BNG should the overall aesthetic not appeal to local communities. Finally, it is expected that there will be skill shortages in property management companies, which tend to maintain properties and manage the built environment intensively, not for the benefit of biodiversity.

Furthermore, gains promised on-site risk being legally unenforceable because of a significant lack of resourcing and the majority of LPAs having no in-house ecological expertise (Robertson, 2021), plus, violations may not reach the legal threshold required for LPAs to launch enforcement action (zu Ermgassen et al., 2021). National and LPA authority guidelines and policies state that if an LPA decides to take enforcement action against developers, it should be undertaken on a “discretionary” basis and is essentially voluntary (Allison et al., 2020; LBE, 2021). This is particularly concerning in that LPAs will have little incentive to monitor BNG progress within on-site developments or to follow up with developers in cases of BNG failings. Our results demonstrate that at least 27% of all the biodiversity units delivered by the policy were exposed to these severe governance risks. This number is conservative because we only accounted for risks of not meeting the habitat condition level proposed in the BNG assessment and not the risk of the developers not delivering the habitat type proposed (i.e., habitat of a given distinctiveness score)."
5,Adapting sustainable forest management to climate policy uncertainty: A conceptual framework,2015,modeling,carbon,North America,United States of America,NA,NA,NA,NA,NA,forest,Forest,sustainable forest management,Ecosystem Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-physical,Political Risks,Regulatory Inconsistency and Institutional Fragmentation,"Uncertainty in climate policy led to uncertainty in economic returns for landowners and in carbon storage in the short-, medium- and long-term;
2) Economic returns increased with the carbon price and as the expected regime switch became more imminent.
3) Carbon storage would increase with the carbon price until a saturation point after which higher carbon price ceased to enhance carbon storage;
4) The impacts of uncertain climate policy were more considerable on medium- and long-term carbon storage than on the short-term.

The approach presented in this paper was the first to address the impacts of uncertain timing of climate policy switches and among the very few capable of handling multiple sources of risk and uncertainty in carbon offset through sustainable management. It answered two critical questions: 1) for policy makers, how would a change in climate policy influence the decision making of forest landowners and alter forests and its associated ecosystem services? 2) for landowners, if a new climate policy was to be adopted, what would be the potential gain/loss and the best decision to make to adapt to this change? This proposed method would assist policy makers at different levels in projecting the potential extent to which climate policy shifts could impact the forest composition and carbon storage and in forecasting the revenue from managing carbon and timber stock. This framework would also help landowners, especially those with small lands or new ownership, understand the economic potential and risk imposed by climate policy uncertainty by illustrating in different policy scenarios, the short-, medium-, and long-term consequences of sustainable management practices and the highest financial returns from a combination of traditional timber sales and innovative carbon credits trades. In addition, we would provide them with optimal management guidelines in response to alternative policy regimes, in the form of straightforward decision tables, so they could cultivate their forests sustainably and profitably."
6,An Analysis of Wetland Policy in Atlantic Canada,2007,legal and policy,biodiversity,North America,Canada,New Brunswick; Nova Scotia; Newfoundland and Labrador; Prince Edward Island,Province,NA,NA,NA,peatland; salt marsh; freshwater wetland; coastal wetland,Wetland; Coastal/Marine,wetland restoration; wetland creation; wetland preservation; wetland enhancement,Restoration; Creation; Protection; Enhancement,NA,NA,NA,NA,NA,NA,NA,Permittee-Responsible; In-Lieu Fee,Canada Wetland Policy; Newfoundland Wetland Directive; New Brunswick Wetlands Policy; PEI Wetland Policy; Nova Scotia Wetlands Policy,policy,Non-binding guidance or strategy.,national; subnational,"Applies to a single country at federal level.; Applies to states, provinces, or regions.",Canada,active,1991; 1997; 2002; 2003; 2006,Non-binding federal guidance.; Development guidance for projects in wetland areas in Newfoundland.; Provincial policy guiding wetlands conservation and potential offsets in New Brunswick.; Guides wetland conservation and potential offsetting in Prince Edward Island.; Provincial policy for designating and managing wetlands in Nova Scotia.,non-physical,"Compliance, Legal, and Governance Risks; Data, Transparency, and Capacity Issues; Political Risks",Inadequate Policy Design; Poor Management and Monitoring; Regulatory Inconsistency and Institutional Fragmentation,"Still further coordination could be achieved in monitoring compensation projects. Existing guidelines agree that monitoring is an important aspect of compensation, but no jurisdiction has specified the frequency and scope of monitoring. Since monitoring is often the most costly aspect of compensation (Robb, 2002), agreement within the region regarding who should bear responsibility for monitoring is desirable. As it is commonly held that project proponents should bear the full costs of compensation (Austen, 2005), the NS OB assertion that project proponents be responsible for monitoring would likely be accepted by the other Atlantic jurisdictions. Self-reporting by proponents, however, presents concerns about the accuracy of monitoring reports (Morgan and Roberts, 1999) and some overview by federal/provincial agencies would be necessary. 

If any jurisdiction, or Atlantic Canada as a whole, pursues in-lieu fee compensation, a fee administrator must be selected, a fee schedule must be developed and criteria for selecting compensation projects must be established (Austen, 2005). None of the approved guidelines in Atlantic Canada elaborate on these critical issues.

In order to evaluate the success of wetland conservation policy, the Atlantic jurisdictions will, at a minimum, need to record the area of wetland lost to development, the area of wetland loss avoided, the area of loss prevented through minimization, and the area of wetland gained through compensation. To our knowledge, no Atlantic jurisdiction is currently tracking this information. Information regarding wetland loss avoided and minimized should be obtainable through the various environmental assessment and permit processes employed by the jurisdictions. If the Atlantic jurisdictions were to adopt the NS guidance, proponents would report the area of wetland gained through compensation as part of their monitoring responsibility 

Summary: Lack of clear guidelines across Atlantic Canada wetland policies about the frequency and scope of monitoring, as well as a Lack of approved compensation guidelines."
7,An Assessment of Long-Term Compliance with Performance Standards in Compensatory Mitigation Wetlands,2017,direct empirical,biodiversity,North America,United States of America,Illinois,State,NA,NA,NA,emergent wetland; forested wetland,Wetland,wetland restoration,Restoration,US CWA 404 Permitting,compliance,permitting,active,national,USA,NA,Permittee-Responsible,US Clean Water Act Section 404,legislation,Statutory law passed by a legislature.,national,Applies to a single country at federal level.,USA,active,1972,Section 404 governs permitting for wetland and stream impacts.,physical; non-physical,"Climate and Environmental Disturbances; Compliance, Legal, and Governance Risks","Flooding; Drought; Invasive Species, Insects, and Pathogens; Policy Non-compliance","Of 30 compensation sites, only 3 met more of their performance standards in 2012 than during the final year of monitoring, whereas 13 met fewer performance standards. On average, compensation sites met 65% of their performance standards during the final year of monitoring and 53% in 2012, which was a statistically significant decrease in performance standard achievement between sample periods. Our assessment of individual standards (Fig. 3) indicated that the decrease in achievement of performance standards was driven primarily by the increasing dominance of non-native and invasive plant species through time. Failure of tree plantings, often attributed to flood-induced tree mortality, has plagued many wetland restoration and compensation projects (Hill et al. 2013; Krzywicka 2015; Pennington and Walters 2006; Stanturf et al. 2001). In addition to flooding, other potential causes of planting failure include drought, herbivory and competition with naturally colonizing woody or herbaceous species."
8,"An assessment of wetland impacts and compensatory mitigation in the Cuyahoga river watershed, Ohio, USA",2008,direct empirical,biodiversity,North America,United States of America,Ohio,State,NA,NA,NA,emergent wetland; forested wetland; scrub/shrub wetland; oper-water/submergent wetland,Wetland,wetland creation; wetland restoration; wetland preservation,Creation; Restoration; Protection,US CWA 404 Permitting; US Mitigation Banking,compliance,permitting; banking,active,national,USA,NA,Permittee-Responsible; Mitigation Banking,US Clean Water Act Section 404,legislation,Statutory law passed by a legislature.,national,Applies to a single country at federal level.,USA,active,1972,Section 404 governs permitting for wetland and stream impacts.,non-physical,"Compliance, Legal, and Governance Risks",Policy Non-compliance,"Recent studies of wetland permit compliance have re-enforced uncertainties about our abilities to create wetland ecosystems. Some reports highlight that most permit-holders are in compliance with permit conditions (e.g., Cole and Shafer 2002, Minkin and Ladd 2003), while others stress that the majority of permit-holders are unable to successfully meet permit requirements (e.g., Johnson et al. 2000, Brown and Veneman 2001). Both netgains and a net-loss of wetland area have been reported. Our study suggests that, overall, the mitigation process resulted in a net-gain of wetland area. However, the majority of the projects that we reviewed did not meet wetland area requirements, and the CRW experienced a net loss of wetland area. Only 78% of the area of all the wetlands impacted is now present as mitigation wetlands within the watershed, highlighting one of the problems associated with ‘‘off-site’’ mitigation."
9,An evaluation of vernal pool creation projects in New England: Project documentation from 1991-2000,2003,direct empirical,biodiversity,North America,United States of America,Maine; New Hampshire; Connecticut; Massachusetts; Vermont,State,Wood Frog; Mole Salamander (genus); Fairy Shrimp,Lithobates sylvaticus; Ambystoma spp.; Chirocephalidae (order),Amphibian; Crustacean,vernal pool; wooded wetland,Wetland,wetland creation; vernal pool creation,Creation,US CWA 404 Permitting,compliance,permitting,active,national,USA,NA,Permittee-Responsible,US Clean Water Act Section 404,legislation,Statutory law passed by a legislature.,national,Applies to a single country at federal level.,USA,active,1972,Section 404 governs permitting for wetland and stream impacts.,non-physical; methodological,"Data, Transparency, and Capacity Issues; Ecological Design and Implementation Failures",Poor Management and Monitoring; Limited Data Transparency; Poor Ecological Design,"Various key pieces of documentation were missing from all project files. Mitigation plans were available for nine projects (60%) and missing or never created for five projects. One project compiled all available file documentation, which included regulatory and consultant letters and memos, into what became known as the “mitigation report” at project end. Pool design criteria were not well documented. For example, in one project, the regulator reported that “design specifications were simply a seat-of-the-pants idea that the consultant/landowner came up with.” No rationale was provided for design specifications for any of the pools.

The availability of monitoring reports was scattered and inconsistent, ranging from a total lack of monitoring documentation to an occasional complete file. In general, stated monitoring periods were three to five years. It is not possible to summarize monitoring frequency, as even within projects, monitoring frequency varied with parameter being monitored. For example, in one project vegetation was to be monitored annually while hydrology would be monitored monthly. Furthermore, documentation on monitoring implementation was missing or incomplete.

Performance criteria (determinants of success) were very difficult to locate in the documentation. Most projects did not clearly state the intended functions of the pools other than to provide “amphibian habitat.” Although five projects specifically addressed the creation of vernal pools, not one project required the use of the pools by vernal pool indicator species as a criterion for success. Since performance criteria were not clearly stated, it was impossible to determine whether success had been achieved, unless pools were explicitly declared failures, as was the case for seven of them (47%). Many had insufficient follow-up monitoring and/or too much documentation missing from project files to be able to determine performance criteria or whether they had been met.

Less than 15% of the projects reviewed implemented a remedial or adaptive management plan when pool functions failed to be met.

There is not much guidance on how to replicate hydrology in created pools. Use of shallow groundwater monitoring wells are useful in some situations to assess long-term hydrologic conditions at a specific site by determining depth to the water table (Antonelli 1997). Water budget or sources of hydrologic inputs and outputs to the system, should also be evaluated. Allen and others (S. Allen, personal communication) state that a variety of hydrologic conditions can support successful vernal pool creation, including systems dominated by groundwater contact, perched conditions, and ephemeral surface flows. Less than 15% of the projects reviewed implemented a remedial or adaptive management plan when pool functions failed to be met. Remedial efforts included modification of hydrology to promote ephemeral conditions, control of invasive vegetation and of mechanical disturbance from all-terrain-vehicles, and translocation of eggs, larvae, or adults of target amphibian species. Little research has been done to determine the success or concerns surrounding such tranlocations and, owing to disease and other issues (Calhoun and Hunter, 2003) the practice is still hotly debated (Lubow 1996; Fagan 1999; Seigel and Dodd 2002; Semlitsch 2002; Trenham and Marsh 2002)."
10,Are offsets effective? An evaluation of recent environmental offsets in Western Australia,2017,direct empirical,biodiversity,Oceania,Australia,Western Australia,State,NA,NA,NA,native vegetation; wetland,Forest; Wetland,habitat protection; planting; threat management; habitat rehabilitation; habitat restoration,Protection; Miscellaneous Compensation; Restoration,NA,NA,NA,NA,NA,NA,NA,NA,WA Environmental Protection Act,legislation,Statutory law passed by a legislature.,subnational,"Applies to states, provinces, or regions.",Australia,active,1986,"Provides the framework for environmental impact assessment and approval processes in WA, including conditions for biodiversity offsets.",non-physical,"Compliance, Legal, and Governance Risks; Data, Transparency, and Capacity Issues",Policy Non-compliance; Insufficient Legal Protections; Poor Management and Monitoring; Limited Data Transparency,"Approximately one-third of past offsets did not result in an outcome, arising from a combination of non-implementation and failure according to completion criteria or goals; this is similar to findings by Brown et al. (2013) in New Zealand. Added to this, the outcomes of 32% of past offsets remain unknown, and so the majority of past offsets did not produce the desired or intended results, or could not be adequately assessed. In WA, non-compliance with approval conditions was a significant issue as 19% of past offsets demonstrated no evidence of implementation. An additional 18% past offsets were thought to be implemented but the offset outcome was unknown - due to insufficient reporting or difficulty in locating information on regulatory agency files or other public sources. Many past offsets did not result in an outcome and thus were not effective - including at least 30 ha not rehabilitated/restored, 71 ha not covenanted, 100 ha of land not acquired for conservation purposes, at least 22 ha of land where the threat was not adequately managed, two areas which were not planted for fauna habitat (area unknown but trees were required to be planted 2:1 for cleared trees), and research not conducted on wetland baseline fauna species."
